"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0060099A";"Autre établissement";"MCF";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";16
"0060099A";"Autre établissement";"MCF";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";2
"0060099A";"Autre établissement";"PR";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";13
"0060099A";"Autre établissement";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";1
"0060931E";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";27
"0060931E";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";12
"0060931E";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";3
"0060931E";"Université";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";4
"0060931E";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";22
"0060931E";"Université";"MCF";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";33
"0060931E";"Université";"MCF";7;"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";9
"0060931E";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";3
"0060931E";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";8
"0060931E";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";2
"0060931E";"Université";"MCF";11;"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";14
"0060931E";"Université";"MCF";12;"12-Langues et littératures germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";4
"0060931E";"Université";"MCF";14;"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";18
"0060931E";"Université";"MCF";15;"15-Langues et littératures arabes, chinoises, japonaises, hébraique, d'autres domaines linguistiques";"Langues et littératures";"Lettres et sciences humaines";1
"0060931E";"Université";"MCF";16;"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";19
"0060931E";"Université";"MCF";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";4
"0060931E";"Université";"MCF";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";8
"0060931E";"Université";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";8
"0060931E";"Université";"MCF";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";7
