"UAI","Etablissement","Référence GALAXIE","N° dans le SI local","Article","Corps","Chaire","Section","Section2","Section3","Date de prise de fonction","Date ouverture cand","Date clôture cand","Profil","Localisation","Etat de vacance"
"0134009M","UNIVERSITE AIX-MARSEILLE","650 * ","52414","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Théorie du droit Droit civil","Aix en Provence",""
"0141408E","UNIVERSITE DE CAEN","4391 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","DROIT DE L'ENTREPRISE","CAEN",""
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4331 * ","0100MCF0279","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de la famille, droit des personnes, droit de la santé","Brest","S"
"0333298F","UNIVERSITE DE BORDEAUX","330","1132","26-I-1","MCF","Non","1","","","01/09/2018","06/02/2018","08/03/2018","Institut d'études judiciaires, Philosophie du droit, Droit social, Droit international privé","BORDEAUX",""
"0333298F","UNIVERSITE DE BORDEAUX","332","1269","26-I-1","MCF","Non","1","","","01/09/2018","06/02/2018","08/03/2018","Droit Fiscal","PESSAC",""
"0341089Z","UNIVERSITE MONTPELLIER 3 (PAUL VALERY)","4220 * ","365","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit prive","Montpellier",""
"0342321N","UNIVERSITE DE MONTPELLIER","245 * ","0221","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Le poste requiert une compétence particulière pour enseigner et participer à des recherches dans le domaine du droit des entreprises et notamment en droit patrimonial de l¿entreprise.","Montpellier",""
"0350936C","UNIVERSITE RENNES 1","4447 * ","01MCF0588","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Enseignement droit civil.Projet de recherche à l'intersection de plusieurs axes de IODE ou projet de recherche portant sur les transformations numériques ou projet de recherche interdisciplinaire","RENNES",""
"0370770L","UNIVERSITE DE TOURS (IUT TOURS)","4391","0472","26-I-1","MCF","Non","1","","","01/09/2018","09/02/2018","12/03/2018","Droit civil - Droit des affaires","IUT de Tours",""
"0370800U","UNIVERSITE DE TOURS","4367","0829","26-I-1","MCF","Non","1","","","01/09/2018","09/02/2018","12/03/2018","Droit privé et sciences criminelles","UFR Droit","S"
"0383493R","UNIVERSITE GRENOBLE ALPES","269 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de l'innovation, droit des contrats civils et commerciaux, droit privé et sciences criminelles","Grenoble","S"
"0383493R","UNIVERSITE GRENOBLE ALPES","270 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit européen des affaires, Droit du commerce international, Droit comparé des affaires, Droit privé et sciences criminelles","Grenoble","S"
"0440984F","UNIVERSITE DE NANTES","4438 * ","1538","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Propriété intellectuelle ","Nantes",""
"0440984F","UNIVERSITE DE NANTES","4440 * ","2227","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit des relations sociales, du travail et de l'emploi","Nantes",""
"0440984F","UNIVERSITE DE NANTES","4441 * ","2228","26-I-1","MCF","Non","1","2","","01/09/2018","22/02/2018","29/03/2018","Droit de la santé","Nantes",""
"0542493S","UNIVERSITE DE LORRAINE","1079 * ","01MCF0839","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de l¿entreprise","NANCY",""
"0542493S","UNIVERSITE DE LORRAINE","1102 * ","01MCF0327","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de l¿entreprise","NANCY",""
"0561718N","UNIVERSITE DE BRETAGNE SUD (LORIENT)","4110 * ","0351","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit","IUT Vannes","S"
"0593279U","UNIVERSITE DE VALENCIENNES","4171 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","introduction au droit, droit des obligations, droit du travail, droit commercial, ","VALENCIENNES LES TERTIALES",""
"0632035V","UNIVERSITE CLERMONT AUVERGNE","88 * ","0127","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé - Droit privé général - Droit de l'environnement ","Clermont-Ferrand",""
"0660586D","UNIV. PERPIGNAN (IUT PERPIGNAN)","4182 * ","MCF0142","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé, droit commercial, droit du travail","IUT/SITE NARBONNE-LABORATOIRE PERPIGNAN",""
"0673021V","UNIVERSITE DE STRASBOURG","4467 * ","","33","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de la propriété intellectuelle (et industrielle) - spécialiste marques, dessins et modèles","Strasbourg","S"
"0680053N","UNIV. MULHOUSE (IUT COLMAR)","4160 * ","01 MCF 0000","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de la santé environnementale et des catastrophes sanitaires (droit comparé), droit du travail, droit des obligations.","IUT de COLMAR",""
"0680169P","UNIV. MULHOUSE (IUT MULHOUSE)","4168 * ","01 MCF 0054","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit Privé : droit du travail, droit social et droit des affaires","I.U.T de Mulhouse ",""
"0692437Z","UNIVERSITE LYON 3 (JEAN MOULIN)","4270 * ","0679","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Le candidat ou la candidate devra présenter le profil suivant : - droit privé et sciences criminelles","LYON / BOURG-EN-BRESSE","S"
"0692437Z","UNIVERSITE LYON 3 (JEAN MOULIN)","4271 * ","0072","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Le candidat ou la candidate devra présenter le profil suivant :- droit privé et sciences criminelles","LYON / BOURG-EN-BRESSE","S"
"0730858L","UNIVERSITE DE SAVOIE MONT-BLANC","4213 * ","459","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","E:Droit du travail,droit social,droit privé,enseignements en anglais. R:Droit du travail,droit des contrats.Aptitude à développer les projets collectifs de recherche et les axes de l'unité.","CHAMBERY","S"
"0730858L","UNIVERSITE DE SAVOIE MONT-BLANC","4214 * ","672","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","E:Droit commerce/entreprise,droit européen/international,droit privé,droit comparé,ens. en anglais.Double L Droit/LEA Annecy.R:Droit:européen,international,commercial.Dév.projets collectifs,axes unité","ANNECY","S"
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4465 * ","6196","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé et sciences criminelles","CAVEJ - Centre Rene Cassin",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4466 * ","1995","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","CAVEJ - Centre René Cassin","CAVEJ - Centre Rene Cassin",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4469 * ","14241","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit civil - Droit du travail","Ecole de Droit de la Sorbonne",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4470 * ","14226","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé et sciences criminelles","Ecole de Droit de la Sorbonne",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4191 * ","MCF0112","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4192 * ","MCF0119","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4193 * ","MCF0121","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4194 * ","MCF0128","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4195 * ","MCF0138","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0753471R","CONSERVATOIRE NAT. DES ARTS ET METIERS","4183 * ","","26-I-1","MCF","Non","1","2","","01/09/2018","22/02/2018","29/03/2018","DROIT FONCIER","292 rue Saint Martin",""
"0753471R","CONSERVATOIRE NAT. DES ARTS ET METIERS","4192 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","DROIT PRIVE GÉNÉRAL ET DROITS DES AFFAIRES ET IMMOBILIER","292 rue Saint-Martin",""
"0753471R","CONSERVATOIRE NAT. DES ARTS ET METIERS","4193 * ","","26-I-1","MCF","Non","1","4","6","01/09/2018","22/02/2018","29/03/2018","CYBERSECURITE","292 rue Saint-Martin",""
"0761904G","UNIVERSITE DE ROUEN","4415 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Contrats civils et commerciaux","Rouen",""
