UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0021964Z,UNIVERSITE D'AMIENS (IUT AISNE),4514 *,,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,DROIT DES AFFAIRES,LAON,
0062205P,UNIVERSITE COTE D'AZUR,1,610,26-I-1,MCF,Non,1,,,01/09/2020,28/01/2020,03/03/2020,PROCEDURES OU DROIT ECONOMIQUE,CAMPUS DROIT,
0134009M,UNIVERSITE AIX-MARSEILLE,868 *,80963,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Droit de la protection sociale - Droit de la sécurité sociale - Droit social étranger ou comparé - Politiques sociales comparées - Droit du travail,Aix en Provence,
0134009M,UNIVERSITE AIX-MARSEILLE,869 *,82122,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Droit des personnes - Régime général des obligations - Droit patrimonial de la famille,Aix en Provence,
0141408E,UNIVERSITE DE CAEN,4462 *,,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Droit privé général,Caen,
0171463Y,UNIVERSITE DE LA ROCHELLE,4151 *,,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Spécialiste de droit social. Il s¿intéresse aux questions et évolutions sociétales liées au monde du travail et/ou à la Responsabilité sociétale et environnementale (RSE) des entreprises.,LA ROCHELLE UNIVERSITE,
0171463Y,UNIVERSITE DE LA ROCHELLE,4156 *,,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Droit privé et sciences criminelles,Universite La Rochelle,
0211237F,UNIVERSITE DE DIJON,4500 *,1617,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Droit,Chalon sur Saone,
0251018W,UNIV. BESANCON (IUT BESANCON-VESOUL),4536 *,0312,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Droit privé,BESANCON,
0251215K,UNIVERSITE DE BESANCON,4537 *,0407,26-I-1,MCF,Non,1,,,01/09/2020,25/02/2020,26/03/2020,Droit civil,BESANCON,
