"Rentrée";"Code.section";"Section";"Groupe";"Discipline";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";"1";"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";56;26;1219;600;0,0307861462341946;0,0213289581624282
"2018";"2";"2-Droit public";"Droit et science politique";"Droit, économie et gestion";23;19;813;483;0,0177469135802469;0,023370233702337
"2018";"3";"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";4;2;148;109;0,0155642023346304;0,0135135135135135
"2018";"4";"4-Science politique";"Droit et science politique";"Droit, économie et gestion";20;4;262;130;0,0510204081632653;0,0152671755725191
"2018";"5";"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";37;24;1185;547;0,0213625866050808;0,020253164556962
"2018";"6";"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";85;36;1627;484;0,0402652771198484;0,0221266133988937
"2018";"7";"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";26;13;531;240;0,0337224383916991;0,0244821092278719
"2018";"8";"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";5;7;189;102;0,0171821305841924;0,037037037037037
"2018";"9";"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";26;23;603;320;0,028169014084507;0,0381426202321725
"2018";"10";"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";6;1;123;85;0,0288461538461538;0,00813008130081301
"2018";"11";"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";49;23;1293;388;0,0291493158834027;0,0177880897138438
"2018";"12";"12-Langues et littératures germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";11;4;294;93;0,0284237726098191;0,0136054421768707
"2018";"13";"13-Langues et littératures slaves";"Langues et littératures";"Lettres et sciences humaines";6;3;91;34;0,048;0,032967032967033
"2018";"14";"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";27;12;728;238;0,0279503105590062;0,0164835164835165
"2018";"15";"15-Langues et littératures arabes, chinoises, japonaises, hébraique, d'autres domaines linguistiques";"Langues et littératures";"Lettres et sciences humaines";21;3;281;108;0,0539845758354756;0,0106761565836299
"2018";"16";"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";44;18;963;397;0,0323529411764706;0,0186915887850467
"2018";"17";"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";15;10;224;160;0,0390625;0,0446428571428571
"2018";"18";"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";27;10;514;204;0,0376044568245125;0,0194552529182879
"2018";"19";"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";22;17;627;246;0,0252004581901489;0,0271132376395534
