"Rentrée";"Type";"UAI";"Etablissement";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";"Autre établissement";"0811293R";"INSTITUT NATIONAL UNIV. D'ALBI";2;2;63;11;0,027027027027027;0,0317460317460317
"2018";"Autre établissement";"0922605G";"INS FREJHEA";3;0;12;4;0,1875;0
"2018";"Communauté d'universités et établissements";"0596870X";"COMUE LILLE NORD DE FRANCE";3;1;66;8;0,0405405405405405;0,0151515151515152
"2018";"École d'ingénieurs";"0632033T";"ECOLE D'INGENIEURS SIGMA CLERMONT";3;2;38;18;0,0535714285714286;0,0526315789473684
"2018";"École normale supérieure";"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";5;3;97;66;0,0306748466257669;0,0309278350515464
"2018";"École normale supérieure";"0753455Y";"ECOLE NORMALE SUPERIEURE DE PARIS";6;3;66;35;0,0594059405940594;0,0454545454545455
"2018";"École normale supérieure";"0940607Z";"ECOLE NORMALE SUPERIEURE DE CACHAN";2;2;60;53;0,0176991150442478;0,0333333333333333
"2018";"Écoles habilitées à délivrer un diplôme d'ingénieur";"0951376E";"ENSEA DE CERGY";1;0;24;8;0,03125;0
"2018";"Écoles nationales supérieures d'ingénieurs";"0141720U";"ENSI CAEN";1;0;29;18;0,0212765957446809;0
"2018";"Écoles nationales supérieures d'ingénieurs";"0250082D";"ENS MECANIQUE & MICROTECH. BESANCON";2;0;28;21;0,0408163265306122;0
"2018";"Écoles nationales supérieures d'ingénieurs";"0290119X";"ENI DE BREST";1;1;27;8;0,0285714285714286;0,037037037037037
"2018";"Écoles nationales supérieures d'ingénieurs";"0912266U";"ENS IIE";0;1;13;6;0;0,0769230769230769
"2018";"Grand établissement";"0333232J";"INSTITUT POLYTECHNIQUE DE BORDEAUX";4;2;108;72;0,0222222222222222;0,0185185185185185
"2018";"Grand établissement";"0381912X";"INP DE GRENOBLE";8;1;174;123;0,0269360269360269;0,00574712643678161
"2018";"Grand établissement";"0542493S";"UNIVERSITE DE LORRAINE";44;21;1435;769;0,0199637023593466;0,0146341463414634
"2018";"Grand établissement";"0692459Y";"E.N.S.S.I.B DE LYON";1;1;5;4;0,111111111111111;0,2
"2018";"Grand établissement";"0750736T";"UNIVERSITE PARIS-DAUPHINE";7;4;186;100;0,0244755244755245;0,021505376344086
"2018";"Grand établissement";"0753237L";"ENSAM";9;2;156;65;0,0407239819004525;0,0128205128205128
"2018";"Grand établissement";"0753431X";"I.E.P DE PARIS";0;1;3;56;0;0,333333333333333
"2018";"Grand établissement";"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";12;4;240;112;0,0340909090909091;0,0166666666666667
"2018";"Grand établissement";"0753488J";"INALCO PARIS";6;7;147;73;0,0272727272727273;0,0476190476190476
"2018";"Institut d'étude politique";"0130221V";"I.E.P D'AIX-EN-PROVENCE";1;0;18;12;0,0333333333333333;0
"2018";"Institut d'étude politique";"0330192E";"I.E.P DE BORDEAUX";2;0;11;17;0,0714285714285714;0
"2018";"Institut d'étude politique";"0352317D";"I.E.P DE RENNES";1;0;14;7;0,0476190476190476;0
"2018";"Institut d'étude politique";"0380134P";"IEP DE GRENOBLE";0;1;28;15;0;0,0357142857142857
"2018";"Institut d'étude politique";"0595876S";"I.E.P DE LILLE";2;0;22;6;0,0714285714285714;0
"2018";"Institut d'étude politique";"0690173N";"I.E.P DE LYON ";1;0;27;16;0,0232558139534884;0
"2018";"Institut national polytechnique";"0311381H";"INP DE TOULOUSE";8;2;158;104;0,0305343511450382;0,0126582278481013
"2018";"Instituts et écoles extérieurs aux universités";"0101060Y";"UNIVERSITE DE TECHNOLOGIE DE TROYES";1;5;55;31;0,0116279069767442;0,0909090909090909
"2018";"Instituts et écoles extérieurs aux universités";"0133774G";"ECOLE CENTRALE DE MARSEILLE";0;1;38;25;0;0,0263157894736842
"2018";"Instituts et écoles extérieurs aux universités";"0180974L";"INSA CENTRE VAL DE LOIRE";3;0;42;21;0,0476190476190476;0
"2018";"Instituts et écoles extérieurs aux universités";"0310152X";"INSA DE TOULOUSE";4;2;98;67;0,0242424242424242;0,0204081632653061
"2018";"Instituts et écoles extérieurs aux universités";"0350097R";"INSA DE RENNES";2;1;90;37;0,015748031496063;0,0111111111111111
"2018";"Instituts et écoles extérieurs aux universités";"0420093Y";"ENI DE SAINT-ETIENNE";2;0;17;11;0,0714285714285714;0
"2018";"Instituts et écoles extérieurs aux universités";"0590338X";"ENSAIT DE ROUBAIX";2;0;13;11;0,0833333333333333;0
"2018";"Instituts et écoles extérieurs aux universités";"0601223D";"UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE";3;3;97;66;0,0184049079754601;0,0309278350515464
"2018";"Instituts et écoles extérieurs aux universités";"0670190T";"INSA DE STRASBOURG";2;0;53;14;0,0298507462686567;0
"2018";"Instituts et écoles extérieurs aux universités";"0690187D";"ECOLE CENTRALE DE LYON";2;2;70;33;0,0194174757281553;0,0285714285714286
"2018";"Instituts et écoles extérieurs aux universités";"0690192J";"INSA DE LYON";6;3;281;131;0,0145631067961165;0,0106761565836299
"2018";"Instituts et écoles extérieurs aux universités";"0760165S";"INSA DE ROUEN";2;1;65;33;0,0204081632653061;0,0153846153846154
"2018";"Instituts et écoles extérieurs aux universités";"0900424X";"BELFORT-MONTBEL (UNIV TECHNO)";4;2;64;22;0,0465116279069767;0,03125
"2018";"Instituts et écoles extérieurs aux universités";"0930603A";"INST. SUP. MECANIQUE PARIS";1;1;21;10;0,032258064516129;0,0476190476190476
"2018";"Université";"0060931E";"UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)";14;10;573;369;0,0148619957537155;0,0174520069808028
"2018";"Université";"0134009M";"UNIVERSITE AIX-MARSEILLE";44;25;1537;923;0,0178861788617886;0,0162654521795706
"2018";"Université";"0141408E";"UNIVERSITE DE CAEN";8;11;591;286;0,00912200684150513;0,0186125211505922
"2018";"Université";"0171463Y";"UNIVERSITE DE LA ROCHELLE";1;2;170;68;0,00420168067226891;0,0117647058823529
"2018";"Université";"0211237F";"UNIVERSITE DE DIJON";3;3;573;337;0,0032967032967033;0,00523560209424084
"2018";"Université";"0251215K";"UNIVERSITE DE BESANCON";10;5;518;265;0,0127713920817369;0,00965250965250965
"2018";"Université";"0290346U";"UNIV. DE BRETAGNE OCCIDENTALE (BREST)";16;10;479;223;0,0227920227920228;0,0208768267223382
"2018";"Université";"0301687W";"UNIVERSITE DE NIMES";3;1;51;17;0,0441176470588235;0,0196078431372549
"2018";"Université";"0311383K";"UNIVERSITE TOULOUSE 2";10;5;506;194;0,0142857142857143;0,00988142292490119
"2018";"Université";"0311384L";"UNIVERSITE TOULOUSE 3";1;1;910;539;0,000690131124913734;0,0010989010989011
"2018";"Université";"0331766R";"UNIVERSITE BORDEAUX MONTAIGNE";7;3;277;124;0,0174563591022444;0,0108303249097473
"2018";"Université";"0333298F";"UNIVERSITE DE BORDEAUX";24;17;931;604;0,0156351791530945;0,0182599355531686
"2018";"Université";"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";13;7;293;143;0,0298165137614679;0,0238907849829352
"2018";"Université";"0342321N";"UNIVERSITE DE MONTPELLIER";23;12;815;546;0,0168993387215283;0,0147239263803681
"2018";"Université";"0350936C";"UNIVERSITE RENNES 1";6;1;617;373;0,00606060606060606;0,00162074554294976
"2018";"Université";"0350937D";"UNIVERSITE RENNES 2";22;5;319;122;0,0498866213151927;0,0156739811912226
"2018";"Université";"0370800U";"UNIVERSITE DE TOURS";15;7;519;295;0,0184275184275184;0,0134874759152216
"2018";"Université";"0383493R";"UNIVERSITE GRENOBLE ALPES";28;20;1088;565;0,0169388989715668;0,0183823529411765
"2018";"Université";"0421095M";"UNIVERSITE DE SAINT-ETIENNE";8;4;311;178;0,016359918200409;0,0128617363344051
"2018";"Université";"0440984F";"UNIVERSITE DE NANTES";19;12;759;423;0,0160744500846024;0,0158102766798419
"2018";"Université";"0450855K";"UNIVERSITE D'ORLEANS";11;6;431;164;0,0184873949579832;0,0139211136890951
"2018";"Université";"0490970N";"UNIVERSITE D'ANGERS";11;9;361;215;0,0190972222222222;0,0249307479224377
"2018";"Université";"0511296G";"UNIVERSITE DE REIMS";14;6;532;271;0,0174346201743462;0,0112781954887218
"2018";"Université";"0561718N";"UNIVERSITE DE BRETAGNE SUD (LORIENT)";7;5;181;66;0,0283400809716599;0,0276243093922652
"2018";"Université";"0593279U";"UNIVERSITE DE VALENCIENNES";9;7;262;105;0,0245231607629428;0,0267175572519084
"2018";"Université";"0595964M";"UNIVERSITE DU LITTORAL";11;7;231;74;0,0360655737704918;0,0303030303030303
"2018";"Université";"0597065J";"UNIVERSITE DE LILLE";44;30;1371;761;0,0206378986866792;0,0218818380743982
"2018";"Université";"0623957P";"UNIVERSITE D'ARTOIS";8;4;236;95;0,0241691842900302;0,0169491525423729
