"UAI";"Rentrée";"pki.FIN.P.ressources";"pki.FIN.S.masseSalariale";"pki.FIN.S.ressourcesPropres";"pki.ENS.P.effectif";"pki.ENS.S.titulaires";"pki.ENS.S.ECtitulaires";"pki.ENS.S.DocATER";"pki.ENS.S.LRU";"pki.ETU.P.effectif";"pki.ETU.S.cycle.1.L";"pki.ETU.S.cycle.2.M";"pki.ETU.S.cycle.3.D";"pki.ETU.S.diplomeEtablissement";"pki.ADM.P.formations";"pki.ADM.S.sélective";"pki.ADM.S.hypersélective";"pki.ADM.S.surchargées";"pki.ADM.S.souschargée";"err.ADM";"Libellé";"Sigle";"Type";"Type.détaillé";"Académie";"Rattachement";"url.siteweb";"url.wikidata";"url.legifrance";"pki.K.proPres";"pki.K.resPetu";"pki.K.selPfor";"pki.K.titPetu";"pki.K.titPens"
"0060099A";"2010";3472347,56;729955,89;1307084,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,376426765297654;NA;NA;NA;NA
"0060099A";"2011";3225380,43;751470,13;1215263,43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,376781423579233;NA;NA;NA;NA
"0060099A";"2012";3201162,78;877333,42;1321988,77988263;28;27;27;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,4129714328;NA;NA;NA;0,964285714285714
"0060099A";"2013";3858128,94;881744,99;1679925,93992259;30;29;29;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,4354250379;NA;NA;NA;0,966666666666667
"0060099A";"2014";3293112;993708;1772578;44;28;28;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,53826836135546;NA;NA;NA;0,636363636363636
"0060099A";"2015";4050737;1098910;2181353;31;31;31;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,53850768391036;NA;NA;NA;1
"0060099A";"2016";3436709;1060447;1367610;34;34;34;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,397941751832931;NA;NA;NA;1
"0060099A";"2017";3495150;948497;1626588;56;32;32;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,465384318269602;NA;NA;NA;0,571428571428571
"0060099A";"2018";3786191;1067793;1818170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Observatoire de la côte d'azur";"OCA";"Autre";"Autre établissement";"Nice";"Université Nice - Sophia-Antipolis";"https://www.oca.eu/";"https://www.wikidata.org/entity/Q2991466";"";0,480210850429891;NA;NA;NA;NA
"0060931E";"2010";210463425,14;170409937,19;32819423,55;NA;NA;NA;NA;NA;26195;15161;9656;1378;1260;NA;NA;NA;NA;NA;NA;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,15593884556506;8480,61510819197;NA;NA;NA
"0060931E";"2011";213940723,29;172965904,25;32459470,6600001;NA;NA;NA;NA;NA;25814;15031;9434;1349;1378;NA;NA;NA;NA;NA;NA;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,151721795462011;8744,76694420601;NA;NA;NA
"0060931E";"2012";215573134,7;176358840,8;30734446,6896993;1510;1152;960;282;0;25019;15152;8497;1370;710;NA;NA;NA;NA;NA;NA;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,1425708576;9115,5285508901;NA;4,60450057955953;0,635761589403974
"0060931E";"2013";220731763,5;179025986,9;35444071,9689081;1491;1167;965;251;0;26098;15924;8905;1269;1063;NA;NA;NA;NA;NA;NA;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,1605753128;8890,0786781586;NA;4,471607019695;0,647216633132126
"0060931E";"2014";223230393;182405549;36606357,9999999;1498;1171;970;265;0;26359;16201;8849;1309;1099;NA;NA;NA;NA;NA;NA;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,163984650602662;8911,39293413174;NA;4,44250540612315;0,647530040053405
"0060931E";"2015";220198254;184076666;35176363,9999999;1566;1164;965;331;0;28003;17383;9387;1233;1649;26;8;3;0;19;0;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,159748605454428;8225,56047814718;0,307692307692308;4,15669749669678;0,616219667943806
"0060931E";"2016";220518966;182432238;16599621;1328;1161;966;98;0;27073;17621;9449;3;1587;25;11;4;0;19;0;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,0752752531952286;8146,24920576284;0,44;4,28840542237654;0,727409638554217
"0060931E";"2017";224034128;179031349;33952479;1281;1125;942;89;1;27025;17386;9635;4;1663;28;16;0;0;14;1;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,151550477166586;8291,11165389882;0,571428571428571;4,16281221091582;0,73536299765808
"0060931E";"2018";228304662;184455494;37957663,0000001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Université Nice - Sophia-Antipolis";"";"Université";"Université";"Nice";"";"http://unice.fr/";"https://www.wikidata.org/entity/Q1198571";"";0,166258816913691;NA;NA;NA;NA
"0062126D";"2015";2663047;2216648;899538,999999999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Université Côte d'Azur";"UCA";"Regroupement";"Communauté d'universités et établissements";"Nice";"";"http://univ-cotedazur.fr/fr/";"https://www.wikidata.org/entity/Q19370961";"http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030295451";0,33778562676513;NA;NA;NA;NA
"0062126D";"2016";13027502;9168928;7632661;NA;NA;NA;NA;NA;1175;NA;10;1165;10;NA;NA;NA;NA;NA;NA;"Université Côte d'Azur";"UCA";"Regroupement";"Communauté d'universités et établissements";"Nice";"";"http://univ-cotedazur.fr/fr/";"https://www.wikidata.org/entity/Q19370961";"http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030295451";0,585888299997958;NA;NA;NA;NA
"0062126D";"2017";19462930;12860130;12034144;NA;NA;NA;NA;NA;1162;NA;16;1146;16;NA;NA;NA;NA;NA;NA;"Université Côte d'Azur";"UCA";"Regroupement";"Communauté d'universités et établissements";"Nice";"";"http://univ-cotedazur.fr/fr/";"https://www.wikidata.org/entity/Q19370961";"http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030295451";0,618311014836923;NA;NA;NA;NA
"0062126D";"2018";25116191;15986366;18600329;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Université Côte d'Azur";"UCA";"Regroupement";"Communauté d'universités et établissements";"Nice";"";"http://univ-cotedazur.fr/fr/";"https://www.wikidata.org/entity/Q19370961";"http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030295451";0,740571251429008;NA;NA;NA;NA
"0101060Y";"2009";30986848,73;23476423,11;10349239,84;NA;NA;NA;NA;NA;2402;21;2260;121;NA;NA;NA;NA;NA;NA;NA;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,333988135746774;13584,764896975;NA;NA;NA
"0101060Y";"2010";30545075,35;23020609,28;9462916,34999999;NA;NA;NA;NA;NA;2418;16;2246;156;NA;NA;NA;NA;NA;NA;NA;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,309801702617178;13503,5700044209;NA;NA;NA
"0101060Y";"2011";31427177,74;23756080,91;9407837,41000001;NA;NA;NA;NA;NA;2432;41;2228;163;NA;NA;NA;NA;NA;NA;NA;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,299353555951856;13850,6733098281;NA;NA;NA
"0101060Y";"2012";32960869,58;24828292,71;10359176,7499212;176;92;82;80;0;2508;52;2294;162;NA;NA;NA;NA;NA;NA;NA;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,3142871193;14049,8165302643;NA;3,66826156299841;0,465909090909091
"0101060Y";"2013";34997260,96;25597107,32;12610276,5716372;135;95;85;35;0;2550;55;2330;165;NA;NA;NA;NA;NA;NA;NA;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,3603218145;14673,903966457;NA;3,72549019607843;0,62962962962963
"0101060Y";"2014";32335284;25771747;9981116,00000001;174;97;87;68;0;2613;65;2379;169;NA;NA;NA;NA;NA;NA;NA;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,308675686905982;13230,4762684124;NA;3,71220818982013;0,5
"0101060Y";"2015";34095584;26485996;11046187;227;104;89;70;45;2738;79;2487;172;NA;1;0;0;NA;NA;1;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,323977058143365;13287,4450506625;0;3,79839298758218;0,392070484581498
"0101060Y";"2016";35425752;27563794;11076990;230;104;88;72;46;2890;56;2666;168;NA;1;0;0;NA;NA;1;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,312681859230539;13014,6039676708;0;3,59861591695502;0,382608695652174
"0101060Y";"2017";36495520;28475742;11648188;232;101;86;74;51;3089;120;2795;174;143;1;0;0;0;0;1;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,319167612901529;12519,9039451115;0;3,26966655875688;0,370689655172414
"0101060Y";"2018";39203438;29761465;13816807;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Université de technologie de Troyes";"UTT";"Autre";"Institut ou école extérieur aux universités";"Reims";"";"http://www.utt.fr/";"https://www.wikidata.org/entity/Q1037208";"http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000731419&fastPos=1&fastReqId=116735684&oldAction=rechExpTexteJorf";0,352438656017873;NA;NA;NA;NA
"0130221V";"2009";4739945,78;2649585,29;2618239,66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Institut d'études politiques d'Aix-en-Provence";"IEP d'Aix-en-Provence";"Autre";"Institut d'étude politique";"Aix-Marseille";"Aix-Marseille université";"http://www.sciencespo-aix.fr/";"https://www.wikidata.org/entity/Q1139065";"";0,552377554833549;NA;NA;NA;NA
"0130221V";"2010";4865215,79;2556496,46;2810513,79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Institut d'études politiques d'Aix-en-Provence";"IEP d'Aix-en-Provence";"Autre";"Institut d'étude politique";"Aix-Marseille";"Aix-Marseille université";"http://www.sciencespo-aix.fr/";"https://www.wikidata.org/entity/Q1139065";"";0,577675053134694;NA;NA;NA;NA
"0130221V";"2011";5167853,95;2772279,39;2922119,29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Institut d'études politiques d'Aix-en-Provence";"IEP d'Aix-en-Provence";"Autre";"Institut d'étude politique";"Aix-Marseille";"Aix-Marseille université";"http://www.sciencespo-aix.fr/";"https://www.wikidata.org/entity/Q1139065";"";0,56544153884225;NA;NA;NA;NA
